model_type,model_name,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,epoch,path_to_model,subset_size
convlstm,simple,0.96,0.93,0.93,0.15,0.2,0.19,39.0,src/convlstm/bestmodels/best_simple_39_0.93_10_model.h5,10.0
convlstm,stateless,0.93,0.95,0.91,0.22,0.19,0.19,22.0,src/convlstm/bestmodels/best_stateless_22_0.95_10_model.h5,10.0
mediapipe,mp,0.9,0.9,0.87,0.27,0.35,0.54,178.0,src/mediapipe/bestmodels/best_mp_178_0.90_20_model.h5,20.0
mediapipe,mp,0.89,0.85,0.85,0.38,0.62,0.43,159.0,src/mediapipe/bestmodels/best_mp_159_0.85_40_model.h5,40.0
mediapipe,mp,0.93,0.86,0.86,0.24,0.63,0.55,167.0,src/mediapipe/bestmodels/best_mp_167_0.86_30_model.h5,30.0
3DCNN,3dcnn,0.93,0.92,0.91,0.33,0.37,0.4,132.0,src/3DCNN/bestmodels/best_3dcnn_132_0.92_20_20_model.h5,20.0
convlstm,stateless,0.9,0.94,0.92,0.27,0.24,0.22,63.0,src/convlstm/bestmodels/best_stateless_63_0.94_20_model.h5,20.0
convlstm,stateless,0.95,0.92,0.82,0.2,0.26,0.46,93.0,src/convlstm/bestmodels/best_stateless_91_0.92_30_model.h5,30.0
convlstm,stateless,0.87,0.77,0.74,0.38,1.05,1.06,104.0,src/convlstm/bestmodels/best_stateless_104_0.77_40_model.h5,40.0
convlstm,simple,0.83,0.65,0.65,0.48,1.36,1.27,170.0,src/convlstm/bestmodels/best_simple_170_0.65_40_model.h5,40.0
3DCNN,3dcnn,0.91,0.91,0.88,0.45,0.5,0.57,135.0,src/3DCNN/bestmodels/best_3dcnn_135_0.91_40_model.h5,40.0
mediapipe,mp,0.91,0.84,0.04,0.3,0.57,13.18,168.0,src/mediapipe/bestmodels/best_mp_168_0.84_50_model.h5,50.0
convlstm,simple,0.94,0.93,0.89,0.15,0.26,0.36,72.0,src/convlstm/bestmodels/best_simple_72_0.93_20_model.h5,20.0
convlstm,simple,0.91,0.89,0.85,0.26,0.38,0.52,96.0,src/convlstm/bestmodels/best_simple_96_0.89_30_model.h5,30.0
3DCNN,3dcnn,0.92,0.91,0.88,0.45,0.5,0.57,63.0,src/3DCNN/bestmodels/best_3dcnn_135_0.90_10_model.h5,10.0
3DCNN,3dcnn,0.91,0.95,0.91,0.39,0.31,0.37,148.0,src/3DCNN/bestmodels/best_3dcnn_148_0.95_30_model.h5,30.0
